celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_total_score,week1_judge_count,week1_percent_score,week1_judge_rank,week2_total_score,week2_judge_count,week2_percent_score,week2_judge_rank,week3_total_score,week3_judge_count,week3_percent_score,week3_judge_rank,week4_total_score,week4_judge_count,week4_percent_score,week4_judge_rank,week5_total_score,week5_judge_count,week5_percent_score,week5_judge_rank,week6_total_score,week6_judge_count,week6_percent_score,week6_judge_rank,week7_total_score,week7_judge_count,week7_percent_score,week7_judge_rank,week8_total_score,week8_judge_count,week8_percent_score,week8_judge_rank,week9_total_score,week9_judge_count,week9_percent_score,week9_judge_rank,week10_total_score,week10_judge_count,week10_percent_score,week10_judge_rank,week11_total_score,week11_judge_count,week11_percent_score,week11_judge_rank,score_std_dev,avg_judge_rank,partner_avg_placement,industry_prevalence,total_fan_saves_bottom1,total_fan_saves_bottom2,total_fan_saves_bottom3,avg_judge_score
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,20.0,3,0.6666666666666666,1.0,26.0,3,0.8666666666666667,1.0,24.0,3,0.8,2.0,21.0,3,0.7,3.0,27.0,3,0.9,1.0,27.0,3,0.9,2.0,,0,,,,0,,,,0,,,,0,,,,0,,,3.0605010483034745,1.6666666666666667,0.3333333333333333,128,0,1,2,8.055555555555555
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,13.0,3,0.4333333333333333,6.0,17.0,3,0.5666666666666667,5.0,21.0,3,0.7,4.0,26.0,3,0.8666666666666667,1.0,23.5,3,0.7833333333333333,2.0,27.5,3,0.9166666666666666,1.0,,0,,,,0,,,,0,,,,0,,,,0,,,5.52871293039046,3.1666666666666665,0.6814102564102564,128,1,4,4,7.111111111111111
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,18.0,3,0.6,4.0,14.0,3,0.4666666666666667,6.0,13.0,3,0.4333333333333333,5.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,,0,,,,0,,,2.6457513110645907,5.0,0.6446810764992583,95,1,1,2,5.0
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,20.0,3,0.6666666666666666,1.0,24.0,3,0.8,2.0,26.0,3,0.8666666666666667,1.0,25.0,3,0.8333333333333334,2.0,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,,0,,,,0,,,2.6299556396765835,1.5,0.7438852813852813,17,0,0,0,7.916666666666667
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,20.0,3,0.6666666666666666,1.0,21.0,3,0.7,3.0,22.0,3,0.7333333333333333,3.0,20.0,3,0.6666666666666666,4.0,22.5,3,0.75,3.0,0.0,3,0.0,,,0,,,,0,,,,0,,,,0,,,,0,,,1.1401754250991378,2.8,0.7318181818181818,61,1,1,2,7.033333333333333
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,18.0,3,0.6,4.0,19.0,3,0.6333333333333333,4.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,,0,,,,0,,,0.7071067811865476,4.0,0.6030753337571519,67,0,0,1,6.166666666666667
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,23.0,3,0.7666666666666667,2.0,17.0,3,0.5666666666666667,8.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,4.242640687119285,5.0,0.8136363636363637,128,0,0,0,6.666666666666667
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,20.0,3,0.6666666666666666,6.0,22.0,3,0.7333333333333333,5.0,26.0,3,0.8666666666666667,3.0,25.0,3,0.8333333333333334,4.0,22.0,3,0.7333333333333333,6.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,2.449489742783178,4.8,0.48089263677498967,128,0,0,0,7.666666666666667
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,18.0,3,0.6,8.0,22.0,3,0.7333333333333333,5.0,22.0,3,0.7333333333333333,5.0,21.0,3,0.7,6.0,24.0,3,0.8,4.0,23.0,3,0.7666666666666667,4.0,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,2.065591117977289,5.333333333333333,0.6446810764992583,128,0,1,3,7.222222222222222
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,19.0,3,0.6333333333333333,7.0,20.0,3,0.6666666666666666,7.0,25.0,3,0.8333333333333334,4.0,26.0,3,0.8666666666666667,2.0,25.0,3,0.8333333333333334,3.0,27.0,3,0.9,3.0,26.5,3,0.8833333333333333,3.0,0.0,3,0.0,,,0,,,,0,,,,0,,,3.2201005603936688,4.142857142857143,0.6030753337571519,128,0,1,2,8.023809523809524
